,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Opponent Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
282,Southern Illinois,12,8,4,.667,9.14,-1.14,,0,1,,7,1,,0,2,,919,775,,66.2,97.5,.332,.310,.499,50.3,42.6,9.1,10.4,.463,15.5,30.6,.230
283,SIU Edwardsville,13,7,6,.538,-7.68,-1.98,,,,,5,0,,0,6,,939,904,,65.6,106.0,.323,.429,.541,49.2,53.7,8.0,8.6,.508,15.1,30.5,.232
284,Southern Indiana,13,3,10,.231,-12.16,4.44,,,,,3,3,,0,7,,844,917,,69.9,100.9,.376,.363,.511,49.3,53.5,9.8,7.2,.465,13.8,26.8,.275
285,Southern Methodist,13,9,4,.692,13.79,0.04,,,,,6,2,,2,1,,993,809,,68.7,90.6,.316,.372,.456,46.3,54.6,12.5,12.4,.411,16.3,31.9,.227
286,Southern Mississippi,12,6,6,.500,-8.94,-3.64,,,,,3,1,,3,2,,840,840,,68.7,101.8,.338,.411,.528,48.6,56.7,11.0,7.1,.494,16.8,29.7,.236
287,Southern Utah,12,4,8,.333,-3.70,0.21,,0,2,,3,1,,0,7,,919,927,,70.3,108.7,.297,.291,.569,51.8,46.6,7.9,9.1,.548,16.2,31.2,.203
288,St. Bonaventure,11,8,3,.727,8.97,-1.94,,,,,5,1,,2,0,,830,710,,66.7,96.9,.336,.393,.516,47.2,57.5,6.5,6.2,.483,18.3,27.9,.231
289,St. John's (NY),12,8,4,.667,14.73,4.98,,1,1,,5,1,,1,1,,946,829,,70.3,98.2,.375,.313,.509,45.8,48.6,8.8,7.3,.462,17.4,32.6,.275
290,St. Thomas,13,8,5,.615,-2.43,-3.73,,,,,5,0,,2,4,,943,812,,64.1,97.5,.331,.353,.516,48.6,52.7,9.0,7.6,.485,16.6,26.8,.224
291,Stanford,10,5,5,.500,5.44,1.64,,,,,5,1,,0,1,,784,746,,71.5,101.8,.230,.360,.516,50.5,42.5,9.0,5.9,.491,13.4,26.9,.163
292,Stephen F. Austin,12,7,5,.583,0.28,-1.32,,1,1,,3,2,,2,2,,935,834,,74.0,92.1,.440,.345,.518,45.6,46.3,11.8,8.3,.465,21.5,28.6,.321
293,Stetson,13,7,6,.538,-4.99,1.61,,,,,3,0,,2,6,,1021,907,,68.0,102.6,.257,.407,.497,49.0,58.9,8.9,8.2,.469,12.7,32.7,.177
294,Stonehill,14,2,12,.143,-21.40,0.06,,,,,2,2,,0,10,,895,1147,,71.2,115.0,.253,.484,.572,56.9,62.3,10.7,16.2,.546,14.7,34.7,.190
295,Stony Brook,12,6,6,.500,-7.09,-1.09,,,,,5,1,,1,5,,860,885,,69.0,105.9,.223,.426,.544,50.3,58.1,9.7,7.6,.524,15.7,29.5,.155
296,Syracuse,12,9,3,.750,8.95,4.68,,0,1,,6,0,,1,1,,938,842,,73.2,95.8,.261,.388,.501,50.2,52.2,9.4,6.2,.474,18.0,31.3,.178
297,Tarleton State,12,8,4,.667,-3.26,-0.14,,2,0,,4,1,,2,3,,843,756,,67.7,93.1,.369,.384,.509,48.0,55.7,9.5,10.1,.479,20.5,31.6,.239
298,TCU,11,9,2,.818,13.02,-5.35,,,,,6,0,,1,0,,973,771,,74.9,93.6,.371,.333,.519,43.9,52.0,9.7,7.1,.486,20.0,26.4,.250
299,Temple,12,6,6,.500,-1.96,0.04,,,,,3,2,,2,1,,906,898,,70.3,103.2,.308,.372,.534,50.2,52.2,8.7,9.9,.493,16.0,29.3,.237
300,Tennessee,12,9,3,.750,19.35,7.76,,,,,6,0,,1,1,,925,786,,70.5,92.9,.373,.400,.476,47.0,51.7,9.0,7.6,.433,15.7,27.7,.254
301,Tennessee State,13,7,6,.538,-6.95,-1.39,,,,,5,0,,1,5,,999,934,,71.4,99.7,.366,.353,.535,50.0,50.3,8.9,10.4,.495,18.5,29.7,.265
302,Tennessee Tech,13,5,8,.385,-14.30,-1.90,,,,,4,2,,1,6,,921,1000,,69.8,109.2,.220,.373,.559,52.9,54.1,9.1,10.6,.535,12.7,24.1,.164
303,Tennessee-Martin,13,7,6,.538,-7.04,-0.70,,,,,5,0,,2,5,,1106,1056,,77.9,102.3,.231,.417,.511,47.9,50.6,10.2,9.6,.483,12.5,25.4,.168
304,Texas,11,9,2,.818,11.01,-1.81,,,,,7,0,,0,1,,878,737,,70.3,95.3,.312,.307,.491,47.6,45.0,10.3,8.6,.450,16.1,29.1,.228
305,Texas A&M,12,8,4,.667,17.43,9.18,,,,,4,1,,2,1,,911,812,,65.3,103.6,.317,.444,.533,43.4,57.0,7.5,12.8,.499,16.0,29.8,.228
306,Texas A&M-Commerce,12,6,6,.500,-10.25,5.08,,,,,5,1,,1,5,,923,882,,70.9,101.5,.332,.360,.536,52.1,44.9,7.6,7.9,.499,17.0,30.1,.243
307,Texas A&M-Corpus Christi,12,6,6,.500,-9.70,-1.81,,,,,4,1,,2,4,,916,811,,73.7,91.7,.519,.405,.525,44.3,58.5,9.6,9.0,.468,20.6,20.8,.373
308,Texas Southern,10,1,9,.100,-9.92,7.68,,,,,0,1,,0,7,,614,790,,69.5,113.7,.428,.408,.567,54.0,57.7,9.8,11.8,.532,13.7,32.8,.301
309,Texas State,12,6,6,.500,-4.39,3.22,,,,,3,0,,3,4,,840,825,,69.3,99.2,.378,.337,.513,47.0,46.9,10.2,9.5,.467,16.4,30.3,.276
310,Texas Tech,11,9,2,.818,10.92,0.74,,,,,6,0,,0,1,,833,721,,67.4,96.1,.235,.425,.501,45.8,47.7,9.6,12.3,.478,16.2,27.7,.159
311,Texas-Rio Grande Valley,12,3,9,.250,-14.31,0.09,,0,2,,2,2,,1,5,,881,955,,75.9,104.8,.357,.314,.558,54.6,57.6,11.1,12.1,.516,18.5,33.2,.272
312,The Citadel,12,7,5,.583,-2.02,-4.72,,,,,3,1,,2,4,,848,775,,66.9,96.6,.216,.359,.496,46.0,50.0,8.7,11.8,.466,13.7,23.0,.162
313,Toledo,12,6,6,.500,3.06,3.98,,,,,4,2,,2,1,,947,958,,71.8,111.3,.269,.356,.596,50.9,47.9,9.1,7.5,.569,17.3,30.1,.206
314,Towson,12,6,6,.500,-1.39,0.37,,,,,4,0,,2,1,,785,806,,63.2,104.1,.328,.356,.537,42.1,52.3,11.2,11.3,.505,14.9,26.3,.233
315,Troy,12,6,6,.500,-4.97,-3.64,,,,,6,1,,0,5,,999,854,,72.5,95.2,.393,.347,.518,45.2,46.2,11.6,12.3,.478,18.7,28.1,.272
316,Tulane,11,8,3,.727,5.32,-2.77,,,,,6,1,,1,0,,983,894,,76.2,104.3,.303,.436,.547,54.5,53.9,9.0,6.3,.519,17.8,32.1,.214
317,Tulsa,11,8,3,.727,1.03,-7.34,,,,,8,0,,0,2,,831,739,,72.5,91.7,.300,.379,.482,51.0,51.3,9.7,8.2,.459,18.8,32.6,.183
318,UAB,12,7,5,.583,-2.63,-0.73,,,,,4,3,,2,1,,917,902,,68.4,107.8,.295,.378,.548,47.3,51.5,10.2,10.5,.519,15.0,30.5,.211
319,UC Davis,11,5,6,.455,-5.41,-3.19,,,,,3,3,,1,3,,790,752,,69.3,98.7,.398,.345,.557,48.2,47.3,9.6,7.4,.519,21.4,28.7,.285
320,UC Irvine,12,7,5,.583,10.29,3.84,,,,,3,0,,1,5,,951,820,,71.0,96.4,.346,.317,.512,45.5,51.7,7.5,7.9,.469,16.3,25.5,.255
321,UC Riverside,12,5,7,.417,-5.84,1.96,,,,,4,1,,0,6,,830,855,,67.1,106.2,.298,.352,.556,48.3,57.5,6.8,9.5,.524,14.7,24.9,.221
322,UC San Diego,12,6,6,.500,1.74,0.74,,,,,5,1,,1,4,,918,818,,68.2,98.9,.245,.383,.499,50.2,51.7,6.8,11.8,.471,15.2,31.0,.172
323,UC Santa Barbara,10,7,3,.700,0.60,-1.78,,,,,5,1,,1,2,,827,746,,72.3,103.2,.244,.344,.520,42.6,42.0,10.1,5.6,.503,11.7,22.6,.154
324,UCLA,11,5,6,.455,5.26,1.76,,,,,4,2,,0,1,,745,682,,66.7,92.9,.375,.468,.498,45.8,48.4,8.7,5.3,.457,17.0,25.1,.260
325,UNC Asheville,14,8,6,.571,-4.64,0.55,,,,,5,1,,0,3,,1140,1033,,72.5,100.0,.307,.361,.520,48.6,47.1,8.6,9.7,.490,16.4,29.7,.212
326,UNC Greensboro,12,9,3,.750,-0.24,-3.74,,,,,5,0,,1,3,,984,839,,69.3,99.9,.334,.452,.500,47.3,50.7,7.3,8.4,.460,13.4,26.4,.239
327,UNC Wilmington,11,9,2,.818,0.52,-1.74,,,,,3,0,,5,1,,939,777,,70.2,99.4,.304,.366,.531,50.2,48.2,6.0,7.0,.505,17.2,27.6,.205
328,UT Arlington,12,6,6,.500,-1.24,5.06,,1,1,,5,1,,0,5,,877,872,,71.1,102.2,.338,.352,.531,45.3,56.7,11.4,11.1,.495,15.1,26.5,.242
329,Utah,11,9,2,.818,19.04,6.85,,,,,6,0,,1,0,,887,753,,71.2,96.2,.219,.408,.497,46.0,52.3,8.4,5.7,.481,14.7,25.2,.136
330,Utah State,13,12,1,.923,12.57,1.75,,,,,6,0,,2,1,,1057,854,,70.9,91.8,.304,.366,.502,44.7,45.6,9.0,5.4,.466,17.9,22.6,.217
331,Utah Tech,12,5,7,.417,-7.59,-0.22,,2,0,,1,2,,4,5,,832,901,,70.8,104.9,.397,.381,.535,53.2,53.6,10.5,10.9,.499,16.7,34.0,.275
332,Utah Valley,12,6,6,.500,-1.94,2.56,,1,1,,4,1,,1,4,,817,819,,68.9,98.0,.323,.345,.524,50.9,55.7,8.6,9.6,.493,16.9,25.5,.221
333,UTEP,13,8,5,.615,-2.29,-0.39,,,,,7,1,,0,3,,1013,904,,73.6,94.5,.507,.351,.533,48.2,46.7,10.2,6.4,.477,22.0,29.6,.370
334,UTSA,12,5,7,.417,-11.33,-6.42,,,,,4,2,,1,5,,920,941,,72.2,107.5,.366,.353,.522,49.4,53.2,8.0,13.6,.487,11.4,29.9,.251
335,Valparaiso,12,4,8,.333,-8.91,-1.64,,0,2,,4,4,,0,4,,801,842,,69.6,100.7,.279,.353,.519,53.6,53.7,9.4,7.6,.494,17.3,33.7,.187
336,Vanderbilt,12,4,8,.333,-3.84,0.24,,,,,4,4,,0,1,,821,870,,68.0,106.6,.306,.355,.550,49.2,50.5,8.9,9.1,.513,14.3,25.9,.235
337,Vermont,14,9,5,.643,2.81,0.90,,,,,5,1,,2,3,,1027,904,,64.6,99.9,.272,.355,.501,48.9,41.6,8.1,6.0,.469,12.4,25.9,.193
338,Villanova,13,9,4,.692,15.50,5.42,,2,0,,4,1,,2,2,,957,826,,65.2,94.7,.282,.435,.503,46.5,54.0,8.6,14.3,.475,16.4,23.1,.191
339,Virginia,11,9,2,.818,13.72,3.54,,1,0,,7,0,,0,1,,722,610,,62.5,88.8,.256,.388,.459,51.9,55.7,9.5,6.5,.422,19.0,31.9,.180
340,Virginia Commonwealth,12,7,5,.583,10.28,3.37,,,,,6,3,,0,0,,872,789,,66.5,97.9,.367,.346,.492,47.0,45.0,11.9,5.8,.448,14.2,28.4,.259
341,VMI,13,3,10,.231,-15.33,-3.43,,,,,3,2,,0,6,,904,935,,71.7,100.2,.328,.406,.504,46.4,46.8,11.7,7.1,.476,13.7,27.1,.213
342,Virginia Tech,12,9,3,.750,13.00,3.16,,1,0,,7,0,,0,1,,891,773,,67.5,95.4,.290,.370,.511,46.8,48.0,8.8,9.5,.481,17.3,24.9,.200
343,Wagner,11,5,6,.455,-14.56,-5.23,,,,,3,1,,2,5,,697,697,,64.4,97.3,.333,.393,.516,51.3,61.1,6.7,9.6,.489,17.9,29.0,.218
344,Wake Forest,11,8,3,.727,11.28,-1.27,,,,,7,0,,0,1,,890,752,,69.1,97.9,.269,.337,.504,50.0,38.8,8.3,9.8,.471,15.8,30.2,.195
345,Washington,11,8,3,.727,14.29,5.74,,,,,6,1,,1,0,,913,819,,72.0,100.0,.356,.362,.501,47.8,49.3,8.5,6.8,.465,14.5,31.8,.242
346,Washington State,11,9,2,.818,12.61,-2.30,,,,,7,0,,0,0,,851,687,,68.0,91.8,.360,.349,.478,43.9,39.3,7.5,5.6,.422,15.3,23.7,.275
347,Weber State,11,7,4,.636,3.40,1.03,,,,,4,0,,2,2,,816,650,,66.4,88.1,.223,.367,.493,48.4,51.0,7.2,10.1,.480,18.4,21.1,.131
348,West Virginia,12,5,7,.417,4.25,5.34,,,,,5,4,,0,0,,813,826,,67.3,102.2,.206,.407,.502,49.8,50.2,8.8,9.9,.479,12.2,28.8,.144
349,Western Carolina,12,10,2,.833,-0.42,-4.22,,,,,5,0,,5,2,,913,796,,69.2,95.9,.331,.268,.486,45.6,32.1,7.5,8.1,.449,12.8,23.3,.226
350,Western Illinois,13,7,6,.538,-10.20,-1.09,,,,,5,1,,2,5,,935,872,,69.6,94.6,.246,.341,.471,44.3,46.8,11.2,7.6,.443,13.3,25.9,.165
351,Western Kentucky,13,10,3,.769,-1.40,-3.60,,,,,5,0,,4,1,,1039,947,,77.2,94.3,.337,.393,.500,48.2,49.1,8.3,9.4,.461,17.5,27.2,.237
352,Western Michigan,11,2,9,.182,-8.78,0.13,,,,,0,4,,0,5,,730,828,,67.3,110.7,.278,.434,.552,49.4,54.3,10.7,9.0,.530,14.4,32.1,.189
353,Wichita State,12,8,4,.667,5.67,2.48,,,,,6,0,,1,1,,912,847,,71.3,99.1,.242,.425,.491,44.6,53.3,10.2,9.6,.459,12.2,25.1,.177
354,William & Mary,12,5,7,.417,-10.87,-5.07,,,,,5,0,,0,5,,931,885,,69.0,105.9,.310,.412,.539,48.7,42.9,8.1,11.0,.501,13.1,25.4,.233
355,Winthrop,14,8,6,.571,0.17,-1.50,,,,,6,1,,2,5,,1071,956,,68.7,99.4,.320,.434,.513,48.6,54.3,10.9,15.2,.467,16.5,32.3,.247
356,Wisconsin,12,9,3,.750,17.53,8.28,,1,0,,6,1,,1,2,,890,779,,65.6,99.0,.332,.378,.539,45.5,43.9,6.6,9.4,.510,17.2,23.2,.229
357,Wofford,12,6,6,.500,-1.32,2.08,,,,,3,0,,3,3,,966,932,,71.4,106.6,.360,.423,.547,45.8,51.4,10.4,9.1,.505,12.2,22.4,.271
358,Wright State,12,6,6,.500,1.53,0.83,,1,0,,4,2,,0,3,,1009,936,,72.8,107.2,.301,.380,.559,47.8,52.5,8.5,5.1,.533,15.0,26.0,.213
359,Wyoming,12,7,5,.583,-2.46,-0.56,,,,,4,1,,0,3,,905,855,,70.7,100.7,.282,.375,.532,47.8,41.7,13.0,9.9,.489,18.0,30.6,.227
360,Xavier,13,7,6,.538,13.73,7.96,,1,1,,6,3,,0,2,,979,904,,71.8,96.8,.287,.316,.476,48.2,58.4,9.6,11.4,.444,14.3,31.1,.195
361,Yale,13,7,6,.538,0.11,1.21,,,,,3,1,,2,4,,975,879,,67.2,98.8,.236,.396,.512,47.0,53.3,8.1,7.4,.478,14.7,24.8,.183
362,Youngstown State,13,10,3,.769,1.42,-0.58,,2,0,,7,0,,3,3,,1060,883,,72.0,94.3,.249,.382,.484,44.5,56.6,7.3,8.7,.458,14.4,25.3,.165
